2025/07/04 09:21:57 Loading cert from /workdir/cert.pem
2025/07/04 09:21:57 Loading key from /workdir/key.pem
2025/07/04 09:21:57 Opened archive /workdir/archive.wprgo
2025/07/04 09:21:57 Loading script from deterministic.js
2025/07/04 09:21:57 Use Ctrl-C to exit.
2025/07/04 09:21:57 Starting server on https://127.0.0.1:8081
2025/07/04 09:21:57 Starting server on http://127.0.0.1:8080
2025/07/04 09:24:16 ServeHTTP(https://region1.google-analytics.com/g/collect?v=2&tid=G-GYVK301NVR&gtm=45je5710v9108812881za200&_p=1751620917000&gcd=13l3l3l2l2l1&npa=0&dma_cps=syphamo&dma=1&tag_exp=101509157~103116026~103200004~103233427~103351869~103351871~104684208~104684211~104718208~104839054~104839056~104879961~104885889~104885891&ul=en-us&sr=800x600&cid=1068425804.1751620917&ir=1&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B137.0.7151.55%7CChromium%3B137.0.7151.55%7CNot%252FA)Brand%3B24.0.0.0&uamb=0&uam=&uap=Linux&uapv=6.11.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=EBAI&_s=1&dl=https%3A%2F%2Ftma.ifip.org%2F2017%2Faccomodation%2F&dt=Accommodation%20%E2%80%93%20TMA%20Conference%202017&sid=1751620917&sct=1&seg=0&_tu=wAQ&en=page_view&_fv=1&_ss=1&_ee=1&tfd=2759): serving 204, 0 bytes
2025/07/04 09:24:16 ServeHTTP(https://tma.ifip.org/favicon.ico): serving 302, 0 bytes
2025/07/04 09:24:16 ServeHTTP(https://tma.ifip.org/wp-includes/images/w-logo-blue-white-bg.png): serving 200, 4119 bytes
2025/07/04 09:24:32 ServeHTTP(http://clients2.google.com/time/1/current?cup2key=9:a-rHmQQ55I8UvKDH2RoBJB4ekedrZoMl-wTAGpRO_h4&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855): serving 200, 106 bytes
2025/07/04 09:24:35 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/07/04 09:24:36 ScriptInjector(https://tma.ifip.org/2017/awards/): succesfully injected
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/awards/): serving 200, 13072 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/maxmegamenu/style.css?ver=054617): serving 200, 244 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1): serving 200, 1031 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/brands.min.css?ver=6.2.4): serving 200, 4833 bytes
2025/07/04 09:24:36 ServeHTTP(https://tma.ifip.org/2017/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1): serving 200, 15323 bytes
